2024-03-30 10:48:25,426 INFO    StreamThr :6367 [internal.py:wandb_internal():86] W&B internal server running at pid: 6367, started at: 2024-03-30 10:48:25.424961
2024-03-30 10:48:25,427 DEBUG   HandlerThread:6367 [handler.py:handle_request():146] handle_request: status
2024-03-30 10:48:25,435 INFO    WriterThread:6367 [datastore.py:open_for_write():87] open: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240330_104825-vxlfyn84/run-vxlfyn84.wandb
2024-03-30 10:48:25,441 DEBUG   SenderThread:6367 [sender.py:send():379] send: header
2024-03-30 10:48:25,465 DEBUG   SenderThread:6367 [sender.py:send():379] send: run
2024-03-30 10:48:25,902 INFO    SenderThread:6367 [dir_watcher.py:__init__():211] watching files in: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240330_104825-vxlfyn84/files
2024-03-30 10:48:25,902 INFO    SenderThread:6367 [sender.py:_start_run_threads():1124] run started: vxlfyn84 with start time 1711792105.427143
2024-03-30 10:48:25,917 DEBUG   HandlerThread:6367 [handler.py:handle_request():146] handle_request: check_version
2024-03-30 10:48:25,917 DEBUG   SenderThread:6367 [sender.py:send_request():406] send_request: check_version
2024-03-30 10:48:26,036 DEBUG   HandlerThread:6367 [handler.py:handle_request():146] handle_request: run_start
2024-03-30 10:48:26,065 DEBUG   HandlerThread:6367 [system_info.py:__init__():26] System info init
2024-03-30 10:48:26,065 DEBUG   HandlerThread:6367 [system_info.py:__init__():41] System info init done
2024-03-30 10:48:26,065 INFO    HandlerThread:6367 [system_monitor.py:start():194] Starting system monitor
2024-03-30 10:48:26,066 INFO    SystemMonitor:6367 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-30 10:48:26,066 INFO    HandlerThread:6367 [system_monitor.py:probe():214] Collecting system info
2024-03-30 10:48:26,066 INFO    SystemMonitor:6367 [interfaces.py:start():190] Started cpu monitoring
2024-03-30 10:48:26,067 INFO    SystemMonitor:6367 [interfaces.py:start():190] Started disk monitoring
2024-03-30 10:48:26,067 INFO    SystemMonitor:6367 [interfaces.py:start():190] Started gpu monitoring
2024-03-30 10:48:26,068 INFO    SystemMonitor:6367 [interfaces.py:start():190] Started memory monitoring
2024-03-30 10:48:26,068 INFO    SystemMonitor:6367 [interfaces.py:start():190] Started network monitoring
2024-03-30 10:48:26,076 DEBUG   HandlerThread:6367 [system_info.py:probe():150] Probing system
2024-03-30 10:48:26,080 DEBUG   HandlerThread:6367 [system_info.py:_probe_git():135] Probing git
2024-03-30 10:48:26,097 DEBUG   HandlerThread:6367 [system_info.py:_probe_git():143] Probing git done
2024-03-30 10:48:26,097 DEBUG   HandlerThread:6367 [system_info.py:probe():198] Probing system done
