2024-06-03 09:23:49,689 INFO    StreamThr :426 [internal.py:wandb_internal():85] W&B internal server running at pid: 426, started at: 2024-06-03 09:23:49.688496
2024-06-03 09:23:49,690 DEBUG   HandlerThread:426 [handler.py:handle_request():158] handle_request: status
2024-06-03 09:23:49,698 INFO    WriterThread:426 [datastore.py:open_for_write():87] open: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240603_092349-fp9q61sh/run-fp9q61sh.wandb
2024-06-03 09:23:49,699 DEBUG   SenderThread:426 [sender.py:send():378] send: header
2024-06-03 09:23:49,725 DEBUG   SenderThread:426 [sender.py:send():378] send: run
2024-06-03 09:23:50,152 INFO    SenderThread:426 [dir_watcher.py:__init__():211] watching files in: /zhome/ea/9/137501/Desktop/ML_health/ML_health/wandb/run-20240603_092349-fp9q61sh/files
2024-06-03 09:23:50,152 INFO    SenderThread:426 [sender.py:_start_run_threads():1123] run started: fp9q61sh with start time 1717399429.691372
2024-06-03 09:23:50,166 DEBUG   HandlerThread:426 [handler.py:handle_request():158] handle_request: check_version
2024-06-03 09:23:50,167 DEBUG   SenderThread:426 [sender.py:send_request():405] send_request: check_version
2024-06-03 09:23:50,242 DEBUG   HandlerThread:426 [handler.py:handle_request():158] handle_request: run_start
2024-06-03 09:23:50,269 DEBUG   HandlerThread:426 [system_info.py:__init__():26] System info init
2024-06-03 09:23:50,269 DEBUG   HandlerThread:426 [system_info.py:__init__():41] System info init done
2024-06-03 09:23:50,269 INFO    HandlerThread:426 [system_monitor.py:start():194] Starting system monitor
2024-06-03 09:23:50,269 INFO    SystemMonitor:426 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-03 09:23:50,270 INFO    HandlerThread:426 [system_monitor.py:probe():214] Collecting system info
2024-06-03 09:23:50,270 INFO    SystemMonitor:426 [interfaces.py:start():188] Started cpu monitoring
2024-06-03 09:23:50,271 INFO    SystemMonitor:426 [interfaces.py:start():188] Started disk monitoring
2024-06-03 09:23:50,271 INFO    SystemMonitor:426 [interfaces.py:start():188] Started gpu monitoring
2024-06-03 09:23:50,272 INFO    SystemMonitor:426 [interfaces.py:start():188] Started memory monitoring
2024-06-03 09:23:50,272 INFO    SystemMonitor:426 [interfaces.py:start():188] Started network monitoring
2024-06-03 09:23:50,281 DEBUG   HandlerThread:426 [system_info.py:probe():150] Probing system
2024-06-03 09:23:50,285 DEBUG   HandlerThread:426 [system_info.py:_probe_git():135] Probing git
2024-06-03 09:23:50,298 DEBUG   HandlerThread:426 [system_info.py:_probe_git():143] Probing git done
2024-06-03 09:23:50,298 DEBUG   HandlerThread:426 [system_info.py:probe():198] Probing system done
